PlantTreatment,WateringTreatment,NitrogenTreatment,TreatmentCode,SourcePopulation,Sequencing_name,Greenhouse_name,Ancestor
PlantPresent,Wet,Control,PWC,PWC2,Sample1,Strain13,796
PlantPresent,Dry,Control,PDC,PDC2,Sample10,Strain22,173
PlantPresent,Dry,Nitrogen,PDN,PDN9,Sample100,Strain186,56
PlantPresent,Dry,Nitrogen,PDN,PDN9,Sample101,Strain187,56
PlantPresent,Dry,Nitrogen,PDN,PDN9,Sample102,Strain188,325
PlantPresent,Dry,Nitrogen,PDN,PDN9,Sample103,Strain189,796
PlantPresent,Wet,Control,PWC,PWC10,Sample104,Strain202,313
PlantPresent,Wet,Control,PWC,PWC10,Sample105,Strain203,729
PlantPresent,Wet,Control,PWC,PWC10,Sample106,Strain204,475
PlantPresent,Wet,Nitrogen,PWN,PWN10,Sample108,Strain206,325
PlantPresent,Dry,Control,PDC,PDC10,Sample109,Strain207,16
PlantPresent,Dry,Nitrogen,PDN,PDN2,Sample11,Strain23,460
PlantPresent,Dry,Control,PDC,PDC10,Sample110,Strain208,325
PlantPresent,Dry,Control,PDC,PDC10,Sample111,Strain209,325
PlantPresent,Dry,Control,PDC,PDC10,Sample112,Strain210,313
PlantPresent,Dry,Control,PDC,PDC10,Sample113,Strain211,325
PlantPresent,Dry,Nitrogen,PDN,PDN10,Sample114,Strain212,113
PlantPresent,Wet,Control,PWC,PWC11,Sample115,Strain225,381
PlantPresent,Wet,Control,PWC,PWC11,Sample116,Strain226,381
PlantPresent,Wet,Control,PWC,PWC11,Sample117,Strain227,460
PlantPresent,Wet,Nitrogen,PWN,PWN11,Sample118,Strain228,325
PlantPresent,Wet,Nitrogen,PWN,PWN11,Sample119,Strain229,108
PlantPresent,Dry,Nitrogen,PDN,PDN2,Sample12,Strain24,861
PlantPresent,Wet,Nitrogen,PWN,PWN11,Sample120,Strain230,209
PlantPresent,Dry,Control,PDC,PDC11,Sample121,Strain231,460
PlantPresent,Dry,Nitrogen,PDN,PDN11,Sample122,Strain232,475
PlantPresent,Wet,Control,PWC,PWC12,Sample123,Strain244,729
PlantPresent,Wet,Control,PWC,PWC12,Sample124,Strain245,313
PlantPresent,Wet,Control,PWC,PWC12,Sample125,Strain246,156
PlantPresent,Wet,Nitrogen,PWN,PWN12,Sample126,Strain247,325
