Ancestor,Chromosome,tI,tII,tIII,tIV (pSym)
Rht_016,cluster_001,cluster_002,cluster_004,cluster_003,cluster_005
Rht_056,cluster_001,cluster_002,cluster_004,cluster_003,cluster_005
Rht_100,cluster_001,cluster_002,cluster_003,cluster_004,cluster_005
Rht_108,cluster_001,cluster_002,cluster_004,cluster_003,cluster_005
Rht_113,cluster_001,cluster_002,cluster_004,cluster_003,cluster_005
Rht_156,cluster_001,cluster_002,cluster_004,cluster_003,cluster_005
Rht_173,cluster_001,-,-,-,cluster_004
Rht_209,cluster_001,-,-,-,cluster_004
Rht_262,cluster_001,cluster_002,cluster_004,cluster_003,cluster_005
Rht_313,cluster_002,cluster_001,cluster_003,cluster_006,cluster_004
Rht_325,cluster_001,cluster_002,cluster_003,cluster_004,cluster_005
Rht_381,cluster_001,cluster_002,cluster_004,cluster_003,cluster_005
Rht_460,cluster_001,cluster_002,cluster_004,cluster_003,cluster_005
Rht_461,cluster_001,cluster_002,cluster_004,cluster_003,cluster_005
Rht_475,cluster_001,cluster_002,cluster_003,cluster_004,cluster_005
Rht_596,cluster_001,cluster_002,cluster_004,cluster_003,cluster_007
Rht_651,cluster_001,cluster_002,cluster_004,cluster_003,cluster_005
Rht_706,cluster_001,cluster_002,cluster_004,cluster_003,cluster_005
Rht_726,cluster_001,cluster_002,cluster_004,cluster_003,cluster_005
Rht_729,cluster_001,cluster_002,cluster_004,cluster_003,cluster_005
Rht_796,cluster_001,cluster_002,cluster_004,cluster_003,cluster_005
Rht_861,cluster_001,cluster_002,cluster_004,cluster_003,cluster_005
