Water,Strain,Rep,Tray,Leaf_count,Height,Aboveground_biomass,Beloground_biomass,Nodules,Nodule_counter,Notes
Dry,16,1,Dry1,29,5.75,1840,916,112,KR,
Dry,56,1,Dry1,21,9.5,1870,1062,76,KR,
Dry,74,1,Dry1,24,5.75,1490,665,37,KR,
Dry,97,1,Dry1,19,8.5,1618,605,45,KR,
Dry,100,1,Dry1,12,8.5,487,170,83,KR,
Dry,108,1,Dry1,15,8,1497,661,28,KR,
Dry,113,1,Dry1,27,5,1466,545,58,KR,
Dry,156,1,Dry1,16,8.75,1342,560,45,KR,
Dry,173,1,Dry1,19,7,1083,551,68,KR,
Dry,209,1,Dry1,27,8.5,1728,645,122,KR,
Dry,262,1,Dry1,20,7.5,1235,432,32,KR,
Dry,313,1,Dry1,17,10,1850,626,87,KR,
Dry,325,1,Dry1,26,9.5,1612,721,73,KR,
Dry,381,1,Dry1,13,10.25,1243,624,58,KR,
Dry,460,1,Dry1,14,9.75,1294,494,68,KR,
Dry,461,1,Dry1,16,7.75,1644,503,40,KR,
Dry,462,1,Dry1,20,10,1711,585,72,KR,
Dry,475,1,Dry1,16,7.5,1507,453,75,KR,
Dry,498,1,Dry1,6,2.9,92,59,51,KR,
Dry,596,1,Dry1,13,7,1296,552,56,KR,
Dry,636,1,Dry1,20,5.4,1452,982,103,KR,
Dry,651,1,Dry1,23,5.9,1226,561,38,KR,
Dry,706,1,Dry1,32,7.2,1200,604,84,KR,
Dry,726,1,Dry1,30,8.7,1814,746,22,KR,
Dry,729,1,Dry1,24,6.3,1653,921,150,KR,
Dry,773,1,Dry1,6,3.9,207,138,4,KR,
Dry,796,1,Dry1,24,9.4,1692,903,47,KR,
Dry,861,1,Dry1,22,7,1479,682,103,KR,
Dry,Sterile,1,Dry1,11,6,324,146,8,KR,
Dry,16,2,Dry1,16,8.6,1146,477,55,SP,
Dry,56,2,Dry1,17,8.1,1296,508,36,SP,
Dry,74,2,Dry1,18,10.4,1461,687,52,SP,
