Contemporary_water,Contemporary_nitrogen,Rhizobia_Strain,Historic_water,Rep,Treatment,Reorder,Aboveground_biomass,Belowground_biomass,Height,Leaf_Count,Notes
Dry,Sterile,Sterile,Abs,1,22,22,45,269,3,1,
Dry,Sterile,Sterile,Abs,2,22,22,195,358,3.5,4,
Dry,Sterile,Sterile,Abs,3,22,22,31,65,1,2,
Dry,Sterile,Sterile,Abs,4,22,22,25,58,3,,Dead
Dry,Sterile,Sterile,Abs,5,22,22,66,,2.5,,Dead
Dry,Sterile,Sterile,Abs,6,22,22,141,97,2.5,3,
Dry,Sterile,Sterile,Abs,7,22,22,35,7,1,,Dead
Dry,Sterile,Sterile,Abs,8,22,22,170,132,2.5,4,
Dry,Sterile,Sterile,Abs,9,22,22,36,31,3.5,2,
Dry,Sterile,Sterile,Abs,10,22,22,15,51,1,,
Dry,Sterile,D1,D,1,12,10,47,24,3,,Dead
Dry,Sterile,D1,D,2,12,10,59,15,7,3,Dead
Dry,Sterile,D1,D,3,12,10,127,201,5,,Dead
Dry,Sterile,D1,D,4,12,10,341,125,6.5,,Dead
Dry,Sterile,D1,D,5,12,10,1251,1131,7,4,
Dry,Sterile,D1,D,6,12,10,322,202,4.5,2,
Dry,Sterile,D1,D,7,12,10,,,,,missing
Dry,Sterile,D1,D,8,12,10,515,329,4.5,7,
Dry,Sterile,D1,D,9,12,10,795,523,5.5,10,
Dry,Sterile,D1,D,10,12,10,558,289,6,8,
Dry,Sterile,D2,D,1,13,11,1030,756,7,10,
Dry,Sterile,D2,D,2,13,11,725,976,6.5,6,
Dry,Sterile,D2,D,3,13,11,534,373,5,6,
Dry,Sterile,D2,D,4,13,11,120,76,3.5,,Dead
Dry,Sterile,D2,D,5,13,11,,,2,,
Dry,Sterile,D2,D,6,13,11,285,393,4.5,3,
Dry,Sterile,D2,D,7,13,11,365,156,5.5,2,Dead
Dry,Sterile,D2,D,8,13,11,406,158,3,3,
Dry,Sterile,D2,D,9,13,11,1125,471,7,11,
Dry,Sterile,D2,D,10,13,11,523,320,7,6,
Dry,Sterile,D3,D,1,14,3,906,753,6.5,6,
Dry,Sterile,D3,D,2,14,3,312,229,5.5,3,
Dry,Sterile,D3,D,3,14,3,267,189,5,2,
Dry,Sterile,D3,D,4,14,3,405,440,4,4,
Dry,Sterile,D3,D,5,14,3,421,108,6,6,
Dry,Sterile,D3,D,6,14,3,930,413,10,4,
Dry,Sterile,D3,D,7,14,3,778,338,6,4,
Dry,Sterile,D3,D,8,14,3,639,860,5,5,
Dry,Sterile,D3,D,9,14,3,374,203,4.5,5,
Dry,Sterile,D3,D,10,14,3,1001,539,8,7,
Dry,Sterile,D4,D,1,15,4,689,486,5,4,
Dry,Sterile,D4,D,2,15,4,,,NA,,Missing
Dry,Sterile,D4,D,3,15,4,281,386,7,1,
Dry,Sterile,D4,D,4,15,4,605,704,4.5,5,
Dry,Sterile,D4,D,5,15,4,470,386,4.5,4,
Dry,Sterile,D4,D,6,15,4,1014,461,7.5,4,
Dry,Sterile,D4,D,7,15,4,813,292,6.5,4,
Dry,Sterile,D4,D,8,15,4,592,344,5,5,
Dry,Sterile,D4,D,9,15,4,383,224,3,3,
Dry,Sterile,D4,D,10,15,4,523,365,6.5,5,
Dry,Sterile,D5,D,1,16,18,1499,788,6,10,
Dry,Sterile,D5,D,2,16,18,1426,1098,4.5,13,
Dry,Sterile,D5,D,3,16,18,708,484,8,6,
Dry,Sterile,D5,D,4,16,18,495,304,7.5,3,
Dry,Sterile,D5,D,5,16,18,,,NA,,Missing
Dry,Sterile,D5,D,6,16,18,330,272,3,3,
Dry,Sterile,D5,D,7,16,18,99,16,3.5,4,
Dry,Sterile,D5,D,8,16,18,515,373,6,3,
Dry,Sterile,D5,D,9,16,18,775,538,5.5,6,
Dry,Sterile,D5,D,10,16,18,1183,688,5.5,8,
Dry,Sterile,W1,W,1,17,14,785,287,5.5,5,
Dry,Sterile,W1,W,2,17,14,491,255,3.5,5,
Dry,Sterile,W1,W,3,17,14,358,383,4,4,
Dry,Sterile,W1,W,4,17,14,54,84,3,1,
Dry,Sterile,W1,W,5,17,14,916,473,8,4,
Dry,Sterile,W1,W,6,17,14,566,439,6.5,4,
Dry,Sterile,W1,W,7,17,14,268,194,5.5,1,
Dry,Sterile,W1,W,8,17,14,1290,675,8,12,
Dry,Sterile,W1,W,9,17,14,125,87,2.5,3,
Dry,Sterile,W1,W,10,17,14,1041,620,8.5,9,
Dry,Sterile,W2,W,1,18,15,509,209,5,3,
Dry,Sterile,W2,W,2,18,15,281,122,5,3,
Dry,Sterile,W2,W,3,18,15,590,477,3.5,5,
Dry,Sterile,W2,W,4,18,15,633,755,6.5,3,
Dry,Sterile,W2,W,5,18,15,501,283,4.5,4,
Dry,Sterile,W2,W,6,18,15,535,329,7,6,
Dry,Sterile,W2,W,7,18,15,131,157,5.5,,Dead
Dry,Sterile,W2,W,8,18,15,940,501,6.5,10,
Dry,Sterile,W2,W,9,18,15,261,231,4.5,4,
Dry,Sterile,W2,W,10,18,15,541,340,5,4,
Dry,Sterile,W3,W,1,19,7,53,56,2,3,
Dry,Sterile,W3,W,2,19,7,311,301,4.5,4,
Dry,Sterile,W3,W,3,19,7,87,36,8,,Dead
Dry,Sterile,W3,W,4,19,7,,,5,,Missing
Dry,Sterile,W3,W,5,19,7,115,90,3,2,Dead
Dry,Sterile,W3,W,6,19,7,559,291,5.5,5,
Dry,Sterile,W3,W,7,19,7,64,22,NA,,Dead
Dry,Sterile,W3,W,8,19,7,232,133,4.5,2,
Dry,Sterile,W3,W,9,19,7,1111,648,5,9,
Dry,Sterile,W3,W,10,19,7,825,685,7.5,7,
Dry,Sterile,W4,W,1,20,8,746,372,5,6,
Dry,Sterile,W4,W,2,20,8,1099,877,6,6,
Dry,Sterile,W4,W,3,20,8,63,27,5,,Dead
Dry,Sterile,W4,W,4,20,8,317,593,6,,
Dry,Sterile,W4,W,5,20,8,345,86,7.5,3,Dead
Dry,Sterile,W4,W,6,20,8,636,688,4.5,4,
Dry,Sterile,W4,W,7,20,8,92,30,5,1,
Dry,Sterile,W4,W,8,20,8,820,482,7,6,
Dry,Sterile,W4,W,9,20,8,265,235,5,5,
Dry,Sterile,W4,W,10,20,8,1021,460,5,8,
Dry,Sterile,W5,W,1,21,20,610,368,6,5,
Dry,Sterile,W5,W,2,21,20,764,396,9,5,
Dry,Sterile,W5,W,3,21,20,289,315,3,5,
Dry,Sterile,W5,W,4,21,20,517,411,4,3,
Dry,Sterile,W5,W,5,21,20,346,114,4,2,Dead
Dry,Sterile,W5,W,6,21,20,322,140,4,3,
Dry,Sterile,W5,W,7,21,20,744,414,7,4,
Dry,Sterile,W5,W,8,21,20,739,496,5.5,3,
Dry,Sterile,W5,W,9,21,20,439,218,4,8,
Dry,Sterile,W5,W,10,21,20,1192,483,6,5,
Wet,Sterile,Sterile,Abs,1,22,22,3,42,1,1,
Wet,Sterile,Sterile,Abs,2,22,22,348,471,6,3,
Wet,Sterile,Sterile,Abs,3,22,22,,,1,,
Wet,Sterile,Sterile,Abs,4,22,22,99,1,1,1,
Wet,Sterile,Sterile,Abs,5,22,22,12,44,1,2,
Wet,Sterile,Sterile,Abs,6,22,22,158,109,1.5,3,
Wet,Sterile,Sterile,Abs,7,22,22,527,178,9,4,
Wet,Sterile,Sterile,Abs,8,22,22,68,44,1,0,
Wet,Sterile,Sterile,Abs,9,22,22,94,39,1,3,
Wet,Sterile,Sterile,Abs,10,22,22,673,444,10,4,
Wet,Sterile,D1,D,1,12,10,2429,1069,10.5,10,
Wet,Sterile,D1,D,2,12,10,1234,317,9.5,7,
Wet,Sterile,D1,D,3,12,10,3191,2005,11,11,
Wet,Sterile,D1,D,4,12,10,911,167,7,8,
Wet,Sterile,D1,D,5,12,10,3513,1125,12.5,19,Dead
Wet,Sterile,D1,D,6,12,10,1973,351,9.5,9,
Wet,Sterile,D1,D,7,12,10,271,56,4,3,
Wet,Sterile,D1,D,8,12,10,4403,1151,13.5,8,
Wet,Sterile,D1,D,9,12,10,810,180,11.5,,
Wet,Sterile,D1,D,10,12,10,3100,1033,14,13,
Wet,Sterile,D2,D,1,13,11,3999,1522,11,11,
Wet,Sterile,D2,D,2,13,11,3347,1861,16,11,
Wet,Sterile,D2,D,3,13,11,2156,1628,10,12,
Wet,Sterile,D2,D,4,13,11,2658,668,11.5,8,
Wet,Sterile,D2,D,5,13,11,1860,614,8,14,
Wet,Sterile,D2,D,6,13,11,691,48,9,8,
Wet,Sterile,D2,D,7,13,11,3652,1530,14,13,
Wet,Sterile,D2,D,8,13,11,987,239,10,13,
Wet,Sterile,D2,D,9,13,11,1754,559,9.5,3,
Wet,Sterile,D2,D,10,13,11,2892,541,15,7,
Wet,Sterile,D3,D,1,14,3,1525,336,9,6,
Wet,Sterile,D3,D,2,14,3,1395,918,12,6,
Wet,Sterile,D3,D,3,14,3,1967,261,14.5,5,
Wet,Sterile,D3,D,4,14,3,304,59,8,2,
Wet,Sterile,D3,D,5,14,3,3663,1184,9.5,14,
Wet,Sterile,D3,D,6,14,3,1469,352,10.5,10,
Wet,Sterile,D3,D,7,14,3,1759,452,9.5,9,
Wet,Sterile,D3,D,8,14,3,2369,377,11,13,
Wet,Sterile,D3,D,9,14,3,1229,256,11,4,
Wet,Sterile,D3,D,10,14,3,2014,688,13,11,
Wet,Sterile,D4,D,1,15,4,3190,833,13,13,
Wet,Sterile,D4,D,2,15,4,684,162,7.5,8,
Wet,Sterile,D4,D,3,15,4,2419,1056,12.5,10,
Wet,Sterile,D4,D,4,15,4,1612,652,9.5,11,
Wet,Sterile,D4,D,5,15,4,892,225,14,15,Dead
