Strain,N_percent,Delta_N,Contemporary_water,Historic_plant,Historic_water,Historic_nitrogen,Treatment_code,Herb,ancestor
Strain14,2.5,-0.2,Dry,Present,Wet,Control,PWC,None,651
Strain16,2.8,-0.2,Dry,Present,Wet,Nitrogen,PWN,Herb,381
Strain17,2.8,-0.4,Dry,Present,Wet,Nitrogen,PWN,None,460
Strain22,2.5,0,Dry,Present,Dry,Control,PDC,None,173
Strain23,2.6,0,Dry,Present,Dry,Nitrogen,PDN,None,460
Strain40,2.7,2.7,Dry,Present,Wet,Nitrogen,PWN,None,313
Strain41,2.3,1.8,Dry,Present,Dry,Control,PDC,None,726
Strain45,2.6,-1,Dry,Present,Dry,Nitrogen,PDN,None,461
Strain47,2.7,3,Dry,Present,Dry,Nitrogen,PDN,Herb,461
Strain60,2.3,-1.2,Dry,Present,Wet,Control,PWC,None,209
Strain61,2.6,-0.2,Dry,Present,Wet,Control,PWC,Herb,16
Strain65,2.5,-0.1,Dry,Present,Dry,Control,PDC,None,113
Strain69,2.6,1.6,Dry,Present,Dry,Nitrogen,PDN,None,113
Strain72,2.4,0.1,Dry,Present,Dry,Nitrogen,PDN,None,861
Strain89,3,-0.3,Dry,Present,Dry,Control,PDC,None,726
Strain114,2.7,-0.1,Dry,Present,Dry,Control,PDC,None,861
Strain115,2.7,-0.9,Dry,Present,Dry,Control,PDC,None,596
Strain135,3.5,0.2,Dry,Present,Wet,Control,PWC,None,460
Strain137,2.4,-2,Dry,Present,Wet,Nitrogen,PWN,None,173
Strain139,2.4,-1.4,Dry,Present,Wet,Nitrogen,PWN,None,313
Strain157,2.3,-1.4,Dry,Present,Wet,Control,PWC,None,729
Strain159,2.5,-2.1,Dry,Present,Wet,Control,PWC,None,173
Strain167,2.8,-1,Dry,Present,Dry,Nitrogen,PDN,None,460
Strain169,2.3,-0.9,Dry,Present,Dry,Nitrogen,PDN,None,209
Strain170,2.5,-0.8,Dry,Present,Dry,Nitrogen,PDN,None,209
Strain181,3.1,-0.9,Dry,Present,Wet,Control,PWC,None,156
Strain182,3.1,-0.9,Dry,Present,Wet,Control,PWC,None,706
Strain184,2.3,-1.8,Dry,Present,Wet,Nitrogen,PWN,None,209
Strain186,2.8,-1.3,Dry,Present,Dry,Nitrogen,PDN,None,56
Strain205,3,2.1,Dry,Present,Wet,Nitrogen,PWN,None,NA
Strain208,2.9,-0.3,Dry,Present,Dry,Control,PDC,None,325
Strain226,3.1,-0.8,Dry,Present,Wet,Control,PWC,None,381
Strain227,2.9,-1,Dry,Present,Wet,Control,PWC,None,460
Strain228,2.9,-1,Dry,Present,Wet,Nitrogen,PWN,None,325
Strain229,3,-0.9,Dry,Present,Wet,Nitrogen,PWN,None,108
Strain231,2.8,-1,Dry,Present,Dry,Control,PDC,None,460
Strain232,2.5,-1.8,Dry,Present,Dry,Nitrogen,PDN,None,475
Strain244,2.3,-1.3,Dry,Present,Wet,Control,PWC,None,729
Strain247,2.8,-1.2,Dry,Present,Wet,Nitrogen,PWN,None,325
Strain249,2.9,0.5,Dry,Present,Wet,Nitrogen,PWN,None,113
Strain250,2.8,-1.2,Dry,Present,Dry,Control,PDC,None,461
Strain252,2.6,-1.1,Dry,Present,Dry,Control,PDC,None,596
Strain253,2.8,-1,Dry,Present,Dry,Control,PDC,None,325
Strain254,2.5,-1.3,Dry,Present,Dry,Control,PDC,None,729
Strain275,2.6,-1.5,Dry,Present,Wet,Nitrogen,PWN,None,325
Strain292,2.7,-0.4,Dry,Present,Wet,Nitrogen,PWN,None,460
Strain306,3.1,-1.2,Dry,Present,Wet,Control,PWC,None,729
Strain309,2.2,-1,Dry,Present,Wet,Nitrogen,PWN,None,16
Strain311,2.4,-1.3,Dry,Present,Dry,Nitrogen,PDN,None,729
Strain312,3.1,-1,Dry,Present,Dry,Nitrogen,PDN,None,381
Strain13,3,-0.5,Dry,Present,Wet,Control,PWC,None,796
Strain15,2.1,-1.1,Dry,Present,Wet,Control,PWC,None,108
Strain18,3.1,1,Dry,Present,Wet,Nitrogen,PWN,None,325
Strain20,2.9,-0.5,Dry,Present,Dry,Control,PDC,None,325
Strain21,2.6,-1.1,Dry,Present,Dry,Control,PDC,None,56
Strain24,2.3,1.1,Dry,Present,Dry,Nitrogen,PDN,None,861
Strain25,3.1,1.3,Dry,Present,Dry,Nitrogen,PDN,None,113
Strain26,3.3,0,Dry,Present,Dry,Nitrogen,PDN,None,460
Strain36,3.1,0.9,Dry,Present,Wet,Control,PWC,None,796
Strain42,2.7,0.7,Dry,Present,Dry,Control,PDC,None,460
Strain44,2.9,-1,Dry,Present,Dry,Control,PDC,None,173
Strain62,2.8,-0.9,Dry,Present,Wet,Nitrogen,PWN,None,861
Strain66,2.8,1.8,Dry,Present,Dry,Control,PDC,None,156
Strain67,2.4,-1.6,Dry,Present,Dry,Control,PDC,None,173
Strain71,2.9,-0.3,Dry,Present,Dry,Nitrogen,PDN,None,796
Strain84,2.8,-0.2,Dry,Present,Wet,Control,PWC,None,113
Strain87,2.7,1.2,Dry,Present,Wet,Nitrogen,PWN,None,729
Strain88,2.8,0.4,Dry,Present,Dry,Control,PDC,None,460
Strain90,3.3,0.6,Dry,Present,Dry,Control,PDC,None,108
Strain91,3.2,-0.1,Dry,Present,Dry,Control,PDC,None,460
Strain94,2.5,3.4,Dry,Present,Dry,Nitrogen,PDN,None,173
Strain108,2.6,-1.4,Dry,Present,Wet,Control,PWC,None,325
Strain110,2.2,-1.1,Dry,Present,Wet,Control,PWC,None,651
Strain119,3.1,-0.8,Dry,Present,Dry,Nitrogen,PDN,None,209
Strain121,2.6,1.2,Dry,Present,Dry,Nitrogen,PDN,None,325
Strain138,2.9,-0.9,Dry,Present,Wet,Nitrogen,PWN,None,461
Strain142,2.8,-1.1,Dry,Present,Dry,Control,PDC,None,56
Strain143,2.6,-1.2,Dry,Present,Dry,Control,PDC,None,729
