ContemporaryWater,Treatment_code,HistoricPlant,HistoricWater,HistoricNitrogen,Strain,Block,Aboveground_biomass,Belowground_biomass,Total_biomass,Leaf_count,Height,Nodule_count,NoduleCounter,Herbivory,Note
Dry,AWC,Absent,Wet,Control,Strain1,D1,87,36.3,123.3,3,8,21,KR,,
Dry,AWC,Absent,Wet,Control,Strain2,D1,86,50.8,136.8,4,5,36,KR,,
Dry,AWC,Absent,Wet,Control,Strain3,D1,,,,,,,,,Germition failure
Dry,AWN,Absent,Wet,Nitrogen,Strain4,D1,90,44.4,134.4,3,7.25,32,KR,,
Dry,AWN,Absent,Wet,Nitrogen,Strain5,D1,97,68.8,165.8,4,5.25,60,KR,,
Dry,AWN,Absent,Wet,Nitrogen,Strain6,D1,127,60.6,187.6,5,4.5,38,KR,,
Dry,ADC,Absent,Dry,Control,Strain7,D1,126,40.2,166.2,4,4,42,KR,,
Dry,ADC,Absent,Dry,Control,Strain8,D1,89,43.1,132.1,4,5.25,38,KR,,
Dry,ADC,Absent,Dry,Control,Strain9,D1,111,62.2,173.2,4,5,22,KR,,
Dry,ADN,Absent,Dry,Nitrogen,Strain10,D1,94,41.6,135.6,3,8.5,30,KR,,
Dry,ADN,Absent,Dry,Nitrogen,Strain11,D1,61,36.6,97.6,4,3.5,36,KR,,
Dry,ADN,Absent,Dry,Nitrogen,Strain12,D1,40,29.4,69.4,2,4.5,15,KR,,
Dry,PWC,Present,Wet,Control,Strain13,D1,96,41.9,137.9,4,4.75,28,KR,2,
Dry,PWC,Present,Wet,Control,Strain14,D1,112,51.3,163.3,4,6.5,54,KR,,
Dry,PWC,Present,Wet,Control,Strain15,D1,75,28.1,103.1,4,4.5,20,KR,,
Dry,PWN,Present,Wet,Nitrogen,Strain16,D1,80,29.8,109.8,4,6.75,32,KR,,
Dry,PWN,Present,Wet,Nitrogen,Strain17,D1,55,30.7,85.7,3,4.75,16,KR,,
Dry,PWN,Present,Wet,Nitrogen,Strain18,D1,85,43.6,128.6,4,5.25,43,KR,,
Dry,PDC,Present,Dry,Control,Strain19,D1,115,48.3,163.3,4,6.5,62,KR,,
