Gene,Replicon,Annotation,PDC_freq,PDC_prop,PWC_freq,PWC_prop
davD,chr,Glutarate-semialdehyde dehydrogenase,38,1,2,0.05
dapX,chr,putative N-acetyl-LL-diaminopimelate aminotransferase,35,0.921052632,4,0.1
scpB,tIV,Segregation and condensation protein B,6,0.157894737,1,0.025641026
sasA,tIV,Adaptive-response sensory-kinase SasA,6,0.157894737,1,0.025641026
qseB,tIV,Transcriptional regulatory protein QseB,6,0.157894737,1,0.025641026
yknY,tIV,putative ABC transporter ATP-binding protein YknY,6,0.157894737,1,0.025641026
lolD,tIV,Lipoprotein-releasing system ATP-binding protein LolD,6,0.157894737,1,0.025641026
group_1151,tIV,IS66 family transposase ISPre3,6,0.157894737,1,0.025641026
group_1165,tIV,IS3 family transposase ISPbe1,6,0.157894737,1,0.025641026
lnrN,tII,Linearmycin resistance permease protein LnrN,11,0.314285714,2,0.057142857
group_502,tII,ABC-2 family transporter protein,11,0.314285714,2,0.057142857
group_6820,chr,Neprosin,5,0.131578947,1,0.025
group_6928,chr,leucine-zipper of insertion element IS481,5,0.131578947,1,0.025
ydjP,tI,AB hydrolase superfamily protein YdjP,5,0.142857143,1,0.028571429
arg,tII,Arginase,5,0.142857143,1,0.028571429
ddpA,tII,putative D%2CD-dipeptide-binding periplasmic protein DdpA,5,0.142857143,1,0.028571429
group_6392,chr,TAS_TIGR02293: putative toxin-antitoxin system antitoxin component,8,0.210526316,2,0.05
group_274,tI,Blue-light-activated histidine kinase 1,8,0.228571429,2,0.057142857
yghA,tI,putative oxidoreductase YghA,8,0.228571429,2,0.057142857
bioF,tI,8-amino-7-oxononanoate synthase,4,0.114285714,1,0.028571429
mcbR,tI,HTH-type transcriptional regulator McbR,4,0.114285714,1,0.028571429
ilvB1,tI,Acetolactate synthase large subunit IlvB1,4,0.114285714,1,0.028571429
recD2,tI,ATP-dependent RecD-like DNA helicase,4,0.114285714,1,0.028571429
group_504,tII,mod_pep_cyc: putative peptide modification system cyclase,8,0.228571429,2,0.057142857
nylB,tIV,6-aminohexanoate-dimer hydrolase,13,0.342105263,4,0.102564103
gsiA,tIV,Glutathione import ATP-binding protein GsiA,13,0.342105263,4,0.102564103
fdxB,tIV,Ferredoxin-3,13,0.342105263,4,0.102564103
rpoN2,tIV,RNA polymerase sigma-54 factor 2,13,0.342105263,4,0.102564103
dapA,tIV,4-hydroxy-tetrahydrodipicolinate synthase,13,0.342105263,4,0.102564103
group_1050,tIV,IS110 family transposase ISShsp1,13,0.342105263,4,0.102564103
group_1056,tIV,IS630 family transposase ISGdi4,13,0.342105263,4,0.102564103
group_1060,tIV,IS6 family transposase ISRsp9,13,0.342105263,4,0.102564103
menE,tIV,2-succinylbenzoate--CoA ligase,13,0.342105263,4,0.102564103
