Gene,Replicon,Annotation,PWN_freq,PWN_prop,PWC_freq,PWC_prop
bcsA,Chromosome,Cellulose synthase catalytic subunit [UDP-forming],38,1,40,1
cmpR,Chromosome,HTH-type transcriptional activator CmpR,38,1,40,1
yccU,Chromosome,putative protein YccU,38,1,40,1
epi,Chromosome,Ethylmalonyl-CoA/methylmalonyl-CoA epimerase,38,1,40,1
dinB,Chromosome,DNA polymerase IV,38,1,40,1
plsY_1,Chromosome,Glycerol-3-phosphate acyltransferase,38,1,40,1
msrQ,Chromosome,Protein-methionine-sulfoxide reductase heme-binding subunit MsrQ,38,1,40,1
hcaB_4,Chromosome,3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase,38,1,40,1
carA_1,Chromosome,Caffeate CoA-transferase,38,1,40,1
crt,Chromosome,Short-chain-enoyl-CoA hydratase,38,1,40,1
lrp_2,Chromosome,Leucine-responsive regulatory protein,38,1,40,1
group_1024,Chromosome,putative oxidoreductase,38,1,40,1
nrtA,Chromosome,Nitrate/nitrite binding protein NrtA,38,1,40,1
btuD_4,Chromosome,Vitamin B12 import ATP-binding protein BtuD,38,1,40,1
yrrK,Chromosome,Putative pre-16S rRNA nuclease,38,1,40,1
aat,Chromosome,Leucyl/phenylalanyl-tRNA--protein transferase,38,1,40,1
aroQ,Chromosome,3-dehydroquinate dehydratase,38,1,40,1
mazG,Chromosome,Nucleoside triphosphate pyrophosphohydrolase,38,1,40,1
ugpC_2,Chromosome,sn-glycerol-3-phosphate import ATP-binding protein UgpC,38,1,40,1
ccpA_1,Chromosome,Catabolite control protein A,38,1,40,1
pdhR,Chromosome,Pyruvate dehydrogenase complex repressor,38,1,40,1
dtd3,Chromosome,D-aminoacyl-tRNA deacylase,38,1,40,1
trpC,Chromosome,Indole-3-glycerol phosphate synthase,38,1,40,1
moeA,Chromosome,Molybdopterin molybdenumtransferase,38,1,40,1
ribN_3,Chromosome,Riboflavin transporter,38,1,40,1
ppaX,Chromosome,5'-nucleotidase,38,1,40,1
crcB,Chromosome,Putative fluoride ion transporter CrcB,38,1,40,1
gstB_4,Chromosome,Glutathione S-transferase GST-6.0,38,1,40,1
dacA,Chromosome,D-alanyl-D-alanine carboxypeptidase DacA,38,1,40,1
lpxH,Chromosome,"UDP-2,3-diacylglucosamine hydrolase",38,1,40,1
group_1085,Chromosome,6-hydroxy-D-nicotine oxidase,38,1,40,1
gdhIV_1,Chromosome,Glucose 1-dehydrogenase 4,38,1,40,1
pgrR_4,Chromosome,HTH-type transcriptional regulator PgrR,38,1,40,1
iolS_2,Chromosome,Aldo-keto reductase IolS,38,1,40,1
cobD,Chromosome,Cobalamin biosynthesis protein CobD,38,1,40,1
